,Unnamed: 0,Title,Artist(s),Track_ID,Genre
426,27,Sundown,Gordon Lightfoot,96579164,Contemporary Country
427,28,(You're) Having My Baby,Paul Anka,34121759,Pop
428,29,Rock Me Gently,Andy Kim,102670341,Pop
429,30,Boogie Down,Eddie Kendricks,5084329,R&B/Soul
430,31,You're Sixteen,Ringo Starr,95396967,Rock
431,32,If You Love Me (Let Me Know),Olivia Newton-John,92123303,Pop
432,33,Dark Lady,Cher,213378568,Pop
433,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,97540160,R&B/Soul
434,35,Feel Like Makin' Love,Roberta Flack,91138077,Soul
435,36,Just Don't Want to Be Lonely,The Main Ingredient,missing,missing
436,37,Nothing from Nothing,Billy Preston,9038265,Soul
437,38,Rock Your Baby,George McCrae,missing,missing
438,39,Top of the World,The Carpenters,88774856,Rock
439,40,The Joker,Steve Miller Band,43327181,Pop/Rock
440,41,I've Got to Use My Imagination,Gladys Knight & the Pips,97540114,R&B/Soul
441,42,The Show Must Go On,Three Dog Night,42033710,Rock
442,43,Rock the Boat,The Hues Corporation,113429333,R&B/Soul
443,44,Smokin' in the Boys Room,Brownsville Station,196134303,Rock
444,45,Living for the City,Stevie Wonder,missing,missing
445,46,Then Came You,Dionne Warwick & The Spinners,93213815,R&B/Soul
